Date,Payee,Notes,Amount
2026-03-01,Whole Foods Market,Grocery run,-85.42
2026-03-02,Netflix,Monthly subscription,-15.99
2026-03-03,Employer Direct Deposit,March salary,3500.0
2026-03-04,Con Edison,Electric bill,-102.5
2026-03-05,Amazon,USB-C cable,-12.99
2026-03-06,Starbucks,Morning coffee,-6.75
2026-03-08,CVS Pharmacy,Medicine,-23.1
2026-03-09,Spotify,Monthly subscription,-9.99
2026-03-10,Trader Joe's,Weekly groceries,-64.3
2026-03-11,MTA MetroCard,Monthly subway pass,-132.0
2026-03-12,Verizon,Phone bill,-45.0
2026-03-14,Chipotle,Lunch,-14.25
2026-03-15,Freelance Payment,Side project payout,500.0
2026-03-16,Planet Fitness,Gym membership,-24.99
2026-03-17,Target,Household items,-37.8
2026-03-18,Uber,Ride to JFK,-28.5
2026-03-19,Duane Reade,Toiletries,-18.4
2026-03-20,Shake Shack,Dinner,-19.99
2026-03-21,Venmo Transfer,Split dinner with friends,-22.0
2026-03-22,Hulu,Monthly subscription,-17.99
2026-03-24,Home Depot,Light bulbs,-15.65
2026-03-25,IKEA,Desk organizer,-49.99
2026-03-26,Whole Foods Market,Grocery run,-72.15
2026-03-28,Chase ATM Withdrawal,Cash,-60.0
2026-03-29,Dividend Income,Investment dividend,45.0
2026-03-30,Con Edison,Gas bill,-54.0
2026-03-31,Paypal Transfer,Reimbursement,30.0
2026-04-01,Paypal Transfer,Reimbursement,26.69
2026-04-02,Freelance Payment,Side project payout,356.27
2026-04-03,Uber,Local ride,-33.95
2026-04-04,Chipotle,Lunch,-13.26
2026-04-05,Best Buy,Electronics accessory,-74.56
2026-04-06,Home Depot,Home supplies,-39.75
2026-04-07,Whole Foods Market,Grocery run,-89.38
2026-04-08,Uber,Local ride,-23.34
2026-04-09,Whole Foods Market,Grocery run,-61.33
2026-04-10,Dividend Income,Investment dividend,46.44
2026-04-11,Planet Fitness,Gym membership,-25.8
2026-04-12,Netflix,Monthly subscription,-16.64
2026-04-13,Chase ATM Withdrawal,Cash,-47.84
2026-04-14,Employer Direct Deposit,Payroll deposit,3683.49
2026-04-15,Dividend Income,Investment dividend,34.4
2026-04-16,Lyft,Ride home,-30.27
2026-04-17,Employer Direct Deposit,Payroll deposit,3401.96
2026-04-18,Starbucks,Morning coffee,-7.1
2026-04-19,Con Edison,Utility bill,-56.44
2026-04-20,IKEA,Apartment purchase,-116.93
2026-04-21,Trader Joe's,Weekly groceries,-44.86
2026-04-22,Planet Fitness,Gym membership,-28.75
2026-04-23,Steam,Game purchase,-31.75
2026-04-24,Planet Fitness,Gym membership,-27.07
2026-04-25,Paypal Transfer,Reimbursement,79.94
2026-04-26,Walgreens,Essentials,-23.68
2026-04-27,Target,Household items,-31.25
2026-04-28,Trader Joe's,Weekly groceries,-48.63
2026-04-29,Employer Direct Deposit,Payroll deposit,3373.63
2026-04-30,Starbucks,Morning coffee,-4.72
2026-05-01,Walgreens,Essentials,-29.68
2026-05-02,Lyft,Ride home,-23.12
2026-05-03,Local Deli,Quick lunch,-12.72
2026-05-04,Con Edison,Utility bill,-93.35
2026-05-05,Venmo Transfer,Friend reimbursement,28.69
2026-05-06,Steam,Game purchase,-21.08
2026-05-07,Starbucks,Morning coffee,-5.95
2026-05-08,Amazon,Household order,-29.9
2026-05-09,Uber,Local ride,-33.26
2026-05-10,Verizon,Phone bill,-58.25
2026-05-11,Steam,Game purchase,-22.6
2026-05-12,Planet Fitness,Gym membership,-27.8
2026-05-13,Duane Reade,Toiletries,-10.3
2026-05-14,Employer Direct Deposit,Payroll deposit,3233.56
2026-05-15,Local Deli,Quick lunch,-15.71
2026-05-16,Duane Reade,Toiletries,-19.58
2026-05-17,Starbucks,Morning coffee,-7.95
2026-05-18,Home Depot,Home supplies,-17.93
2026-05-19,Duane Reade,Toiletries,-23.53
2026-05-20,Spotify,Monthly subscription,-10.81
2026-05-21,Steam,Game purchase,-22.5
2026-05-22,Shake Shack,Dinner,-21.88
2026-05-23,Uber,Local ride,-16.4
2026-05-24,Planet Fitness,Gym membership,-27.37
2026-05-25,Home Depot,Home supplies,-39.44
2026-05-26,Home Depot,Home supplies,-40.83
2026-05-27,Uber,Local ride,-9.08
2026-05-28,Shake Shack,Dinner,-19.92
2026-05-29,Starbucks,Morning coffee,-5.22
2026-05-30,Walgreens,Essentials,-29.48
2026-05-31,Paypal Transfer,Reimbursement,31.8
2026-06-01,Venmo Transfer,Friend reimbursement,39.55
2026-06-02,Starbucks,Morning coffee,-7.08
2026-06-03,IKEA,Apartment purchase,-25.48
2026-06-04,Hulu,Monthly subscription,-16.99
2026-06-05,Planet Fitness,Gym membership,-21.39
2026-06-06,Whole Foods Market,Grocery run,-54.18
2026-06-07,Chipotle,Lunch,-13.23
2026-06-08,Planet Fitness,Gym membership,-22.49
2026-06-09,Employer Direct Deposit,Payroll deposit,3584.58
2026-06-10,Chipotle,Lunch,-15.95
2026-06-11,Amazon,Household order,-33.67
2026-06-12,Freelance Payment,Side project payout,806.89
2026-06-13,Lyft,Ride home,-10.67
2026-06-14,Employer Direct Deposit,Payroll deposit,3307.19
2026-06-15,Steam,Game purchase,-41.28
2026-06-16,Paypal Transfer,Reimbursement,46.34
2026-06-17,Paypal Transfer,Reimbursement,68.3
2026-06-18,Target,Household items,-61.59
2026-06-19,Employer Direct Deposit,Payroll deposit,3296.93
2026-06-20,Employer Direct Deposit,Payroll deposit,3753.46
2026-06-21,Steam,Game purchase,-44.98
2026-06-22,Duane Reade,Toiletries,-17.74
2026-06-23,Chipotle,Lunch,-11.5
2026-06-24,Best Buy,Electronics accessory,-21.76
2026-06-25,Chase ATM Withdrawal,Cash,-81.55
2026-06-26,Trader Joe's,Weekly groceries,-71.75
2026-06-27,Home Depot,Home supplies,-14.55
2026-06-28,Starbucks,Morning coffee,-5.34
2026-06-29,Local Deli,Quick lunch,-15.38
2026-06-30,Employer Direct Deposit,Payroll deposit,3519.62
2026-07-01,Shake Shack,Dinner,-22.97
2026-07-02,Spotify,Monthly subscription,-9.16
2026-07-03,Amazon,Household order,-42.54
2026-07-04,Walgreens,Essentials,-18.05
2026-07-05,Target,Household items,-18.91
2026-07-06,Employer Direct Deposit,Payroll deposit,3637.96
2026-07-07,Target,Household items,-30.79
2026-07-08,Verizon,Phone bill,-40.12
2026-07-09,Paypal Transfer,Reimbursement,54.21
2026-07-10,Best Buy,Electronics accessory,-77.89
2026-07-11,Chipotle,Lunch,-16.26
2026-07-12,Starbucks,Morning coffee,-7.31
2026-07-13,Home Depot,Home supplies,-33.41
2026-07-14,Home Depot,Home supplies,-49.43
2026-07-15,Starbucks,Morning coffee,-5.46
2026-07-16,Trader Joe's,Weekly groceries,-72.41
2026-07-17,Best Buy,Electronics accessory,-136.23
2026-07-18,Duane Reade,Toiletries,-26.51
2026-07-19,Uber,Local ride,-29.92
2026-07-20,Spotify,Monthly subscription,-11.36
2026-07-21,Shake Shack,Dinner,-18.21
2026-07-22,Best Buy,Electronics accessory,-71.47
2026-07-23,Spotify,Monthly subscription,-11.27
2026-07-24,Spotify,Monthly subscription,-9.58
2026-07-25,Target,Household items,-64.81
2026-07-26,Venmo Transfer,Friend reimbursement,40.17
2026-07-27,MTA MetroCard,Transit refill,-91.71
2026-07-28,Verizon,Phone bill,-46.79
2026-07-28,Walgreens,Essentials,-15.23
2026-07-29,Venmo Transfer,Friend reimbursement,55.74
2026-07-30,Paypal Transfer,Reimbursement,25.33
2026-08-01,Chase ATM Withdrawal,Cash,-48.3
2026-08-02,Uber,Local ride,-32.44
2026-08-03,Planet Fitness,Gym membership,-25.51
2026-08-04,MTA MetroCard,Transit refill,-114.02
2026-08-05,Netflix,Monthly subscription,-18.0
2026-08-06,Steam,Game purchase,-42.36
2026-08-07,Chase ATM Withdrawal,Cash,-48.32
2026-08-08,Planet Fitness,Gym membership,-29.02
2026-08-09,Paypal Transfer,Reimbursement,119.92
2026-08-10,Local Deli,Quick lunch,-15.87
2026-08-11,Starbucks,Morning coffee,-4.37
2026-08-12,Walgreens,Essentials,-26.56
2026-08-13,MTA MetroCard,Transit refill,-84.41
2026-08-14,Target,Household items,-22.44
2026-08-15,Best Buy,Electronics accessory,-132.96
2026-08-16,Verizon,Phone bill,-64.95
2026-08-17,Verizon,Phone bill,-58.37
2026-08-18,Chase ATM Withdrawal,Cash,-52.89
2026-08-19,CVS Pharmacy,Pharmacy purchase,-23.58
2026-08-20,Freelance Payment,Side project payout,896.57
2026-08-21,Planet Fitness,Gym membership,-23.38
2026-08-22,Spotify,Monthly subscription,-11.54
2026-08-23,CVS Pharmacy,Pharmacy purchase,-29.12
2026-08-24,Trader Joe's,Weekly groceries,-53.15
2026-08-25,Planet Fitness,Gym membership,-29.39
2026-08-26,Duane Reade,Toiletries,-26.8
2026-08-27,Home Depot,Home supplies,-37.11
2026-08-28,Hulu,Monthly subscription,-17.68
2026-08-28,Steam,Game purchase,-15.15
2026-08-29,Amazon,Household order,-52.33
2026-08-31,Amazon,Household order,-51.78
2026-09-01,Starbucks,Morning coffee,-5.62
2026-09-02,Uber,Local ride,-26.29
2026-09-03,Best Buy,Electronics accessory,-71.64
2026-09-04,Home Depot,Home supplies,-31.46
2026-09-05,IKEA,Apartment purchase,-139.75
2026-09-06,Venmo Transfer,Friend reimbursement,50.86
2026-09-07,Hulu,Monthly subscription,-16.73
2026-09-08,Lyft,Ride home,-29.1
2026-09-09,Dividend Income,Investment dividend,28.65
2026-09-10,Lyft,Ride home,-24.5
2026-09-11,Venmo Transfer,Friend reimbursement,55.19
2026-09-12,Netflix,Monthly subscription,-17.74
2026-09-13,Employer Direct Deposit,Payroll deposit,3761.44
2026-09-14,Whole Foods Market,Grocery run,-67.5
2026-09-15,Home Depot,Home supplies,-12.19
2026-09-16,Starbucks,Morning coffee,-6.31
2026-09-17,Hulu,Monthly subscription,-16.94
2026-09-18,Steam,Game purchase,-32.78
2026-09-19,Starbucks,Morning coffee,-4.6
2026-09-20,Con Edison,Utility bill,-98.63
2026-09-21,Netflix,Monthly subscription,-15.67
2026-09-22,Dividend Income,Investment dividend,28.03
2026-09-23,Chase ATM Withdrawal,Cash,-60.76
2026-09-24,Whole Foods Market,Grocery run,-54.93
2026-09-25,Planet Fitness,Gym membership,-27.01
2026-09-26,Venmo Transfer,Friend reimbursement,17.25
2026-09-27,Best Buy,Electronics accessory,-123.89
2026-09-28,Chipotle,Lunch,-11.77
2026-09-29,Freelance Payment,Side project payout,564.92
2026-09-30,Lyft,Ride home,-27.24
2026-10-01,Target,Household items,-30.53
2026-10-02,Target,Household items,-32.19
2026-10-03,Walgreens,Essentials,-25.93
2026-10-04,Spotify,Monthly subscription,-11.25
2026-10-05,Steam,Game purchase,-15.39
2026-10-06,Starbucks,Morning coffee,-5.83
2026-10-07,Local Deli,Quick lunch,-13.51
2026-10-08,Whole Foods Market,Grocery run,-74.99
2026-10-09,Shake Shack,Dinner,-18.9
2026-10-10,Lyft,Ride home,-30.12
2026-10-11,Netflix,Monthly subscription,-16.79
2026-10-12,MTA MetroCard,Transit refill,-77.03
2026-10-13,Chipotle,Lunch,-17.47
2026-10-14,Best Buy,Electronics accessory,-57.08
2026-10-15,Shake Shack,Dinner,-19.64
2026-10-16,Local Deli,Quick lunch,-12.68
2026-10-17,Planet Fitness,Gym membership,-28.52
2026-10-18,Shake Shack,Dinner,-23.67
2026-10-19,Con Edison,Utility bill,-52.58
2026-10-20,Chase ATM Withdrawal,Cash,-41.67
2026-10-21,Trader Joe's,Weekly groceries,-35.56
2026-10-22,Target,Household items,-32.49
2026-10-23,Venmo Transfer,Friend reimbursement,17.2
2026-10-24,Employer Direct Deposit,Payroll deposit,3535.93
2026-10-25,Walgreens,Essentials,-22.65
2026-10-26,IKEA,Apartment purchase,-56.32
2026-10-27,Steam,Game purchase,-12.45
2026-10-28,Walgreens,Essentials,-28.26
2026-10-29,Chase ATM Withdrawal,Cash,-51.35
2026-10-30,Best Buy,Electronics accessory,-90.52
2026-10-31,Amazon,Household order,-20.38
2026-11-01,Duane Reade,Toiletries,-11.57
2026-11-02,MTA MetroCard,Transit refill,-53.38
2026-11-03,Walgreens,Essentials,-15.09
2026-11-04,Uber,Local ride,-30.26
2026-11-05,Chase ATM Withdrawal,Cash,-57.92
2026-11-06,Verizon,Phone bill,-43.2
